,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
4385,forts,../inputs/case13659pegase.graphml,13659,18625,4024,15,50909,13659,2,2760.0,2760,0.0,Optimal,73552,130164887,82,9343633,24740
4386,brimkov,../inputs/case1354pegase.graphml,1354,1710,422,6,7269,7537,0,322.0,322,0.0,Optimal,1,428953,0,0,0
4387,forts,../inputs/case2746wop.graphml,2746,3300,709,7,9346,2746,2,678.0,678,0.0,Optimal,1680,1312260,32,457413,5818
4388,cycles,../inputs/case1951rte.graphml,1951,2375,651,7,8852,3902,1,406.0,406,0.0,Optimal,1787,1666849,56,71201,1920
4389,cycles,../inputs/case6515rte.graphml,6515,8104,2344,2,30149,13030,0,2973.0,2973,0.0,Optimal,7299,37426813,77,637669,9700
4390,brimkov,../inputs/case6515rte.graphml,6515,8104,2344,11,36664,46344,0,1315.0,1315,0.0,Optimal,4602,9805151,0,0,0
4391,forts,../inputs/case39.graphml,39,46,10,5,131,39,2,9.0,9,0.0,Optimal,1,2263,10,1089,75
4392,cycles,../inputs/case145.graphml,145,422,71,17,1295,290,0,18.0,18,0.0,Optimal,5,70593,21,2860,218
4393,brimkov,../inputs/case145.graphml,145,422,71,18,1440,2704,1,18.0,18,0.0,Optimal,1,210130,0,0,0
4394,cycles,../inputs/case3012wp.graphml,3012,3566,726,8,12224,6024,4,755.0,755,0.0,Optimal,2129,2496556,34,60785,945
4395,forts,../inputs/case6515rte.graphml,6515,8104,2344,9,22723,6515,4,1319.0,1319,0.0,Optimal,13805,16201581,168,2999421,12451
4396,brimkov,../inputs/case2869pegase.graphml,2869,3968,869,6,16202,16164,0,629.0,629,0.0,Optimal,487,3871486,0,0,0
4397,cycles,../inputs/case9241pegase.graphml,9241,14207,2902,36,45305,18482,1,2010.0,2010,0.0,Optimal,1657,6956040,31,249852,1828
4398,brimkov,../inputs/case13659pegase.graphml,13659,18625,4024,11,77073,93003,3,2817.0,2817,0.0,Optimal,1826,18999937,0,0,0
4399,jovanovic,../inputs/case14.graphml,14,20,2,2,73,111,2,6.0,6,0.0,Optimal,1,1913,0,0,0
4400,brimkov,../inputs/case6468rte.graphml,6468,8065,2384,5,36499,45765,1,1408.0,1408,0.0,Optimal,3144,112090610,0,0,0
4401,jovanovic,../inputs/case_illinois200.graphml,200,245,44,8,1074,2310,0,40.0,40,0.0,Optimal,1,57567,0,0,0
4402,cycles,../inputs/case_Western.graphml,10024,12241,4106,14,48202,20048,3,1825.0,1825,0.0,Optimal,18845,197203012,92,1448958,15019
4403,cycles,../inputs/case300.graphml,300,409,66,5,1324,600,4,76.0,76,0.0,Optimal,7,47984,14,2561,153
4404,cycles,../inputs/case2746wp.graphml,2746,3274,704,4,11305,5492,0,706.0,706,0.0,Optimal,1669,4736936,57,78717,2021
4405,jovanovic,../inputs/case_GBreduced29.graphml,29,50,0,6,158,216,4,7.0,7,0.0,Optimal,1,1633,0,0,0
4406,cycles,../inputs/case2737sop.graphml,2737,3266,655,8,11185,5474,3,683.0,683,0.0,Optimal,7674,4458352,32,52377,1442
4407,jovanovic,../inputs/case118.graphml,118,179,11,10,634,1019,3,29.0,29,0.0,Optimal,1,11449,0,0,0
4408,jovanovic,../inputs/case13659pegase.graphml,13659,18625,4024,27,77073,166797,2,2721.0,2721,0.0,Optimal,1585,116268182,0,0,0
4409,cycles,../inputs/case3375wp.graphml,3374,4068,889,2,14161,6748,4,1454.0,1454,0.0,Optimal,3534,8021378,51,136809,3484
4410,jovanovic,../inputs/case_Texas.graphml,2000,2667,376,13,11023,24309,3,411.0,411,0.0,Optimal,1865,13641765,0,0,0
4411,brimkov,../inputs/case6468rte.graphml,6468,8065,2384,13,36499,45765,2,1291.0,1291,0.0,Optimal,1129,4434223,0,0,0
4412,forts,../inputs/case2868rte.graphml,2868,3471,983,5,9810,2868,3,651.0,655,0.0061068702290076335,Timeout,1653295,901305281,279,1409797,7711
4413,jovanovic,../inputs/case9241pegase.graphml,9241,14207,2902,8,54546,98650,4,2014.0,2014,0.0,Optimal,3044,187998879,0,0,0
4414,forts,../inputs/case2383wp.graphml,2383,2886,552,2,8155,2383,0,1043.0,1071,0.026143790849673203,Timeout,364543,900398416,986,4115014,15154
4415,brimkov,../inputs/case13659pegase.graphml,13659,18625,4024,28,77073,93003,3,2721.0,2721,0.0,Optimal,1,4016082,0,0,0
4416,cycles,../inputs/case13659pegase.graphml,13659,18625,4024,5,63414,27318,1,3630.0,3630,0.0,Optimal,21465,263955458,133,1908723,9496
4417,forts,../inputs/case6495rte.graphml,6495,8084,2344,8,22663,6495,1,1322.0,1322,0.0,Optimal,5286,9376922,88,2479311,12474
4418,jovanovic,../inputs/case_Texas.graphml,2000,2667,376,15,11023,24309,2,411.0,411,0.0,Optimal,9206,46587369,0,0,0
4419,forts,../inputs/case_ieee30.graphml,30,41,7,3,112,30,4,8.0,8,0.0,Optimal,1,10757,16,1240,72
4420,forts,../inputs/case_Western.graphml,10024,12241,4106,6,34506,10024,2,1867.0,1873,0.003203416978109984,Timeout,371154,901061418,752,17261667,25252
